DIRECTION,REVENUE,SALES_VOLUME,FREIGHT_RATE,NUM_40,NUM_20,percent_40,Nomal_Rate
乐平_荆州,12177,120,4059.3000000000006,3,0,1.0,1.00
盘锦_合肥,4389,40,2194.5,0,2,0.0,1.00
德清_白坭,2921,40,2921.1,1,0,1.0,1.00
丹东_花都（炭步）,1984,20,1984.5,0,1,0.0,1.00
高明_安庆,279,40,139.65,0,2,0.0,0.00
镇江_马尾,5775,60,1925.0,0,3,0.0,1.00
四会_蚌埠,1642,20,1642.2,0,1,0.0,1.00
宁波_珠海洪湾,6144,140,1024.1000000000001,1,5,0.16666666666666666,0.17
漳州_中山,1331,40,665.7,0,2,0.0,1.00
武汉_湛江海安,5355,40,2677.5,0,2,0.0,1.00
乍浦_泉州,7077,160,1769.25,4,0,1.0,1.00
深圳（大铲湾）_嘉兴,1437,20,1437.45,0,1,0.0,1.00
南通_三水,3381,40,1690.5,0,2,0.0,1.00
秦皇岛_新沙,6788,120,2262.75,3,0,1.0,0.00
日照_勒流,6715,60,2238.6,0,3,0.0,1.00
常熟_秦皇岛,257,20,257.25,0,1,0.0,0.00
马尾_锦州,2593,240,370.5,5,2,0.7142857142857143,0.14
镇江_钦州,7309,80,3654.5249999999996,2,0,1.0,1.00
重庆_马尾,3727,20,3727.5,0,1,0.0,1.00
秦皇岛_镇江,4698,60,1566.25,0,3,0.0,0.33
虎门_锦州,385,20,385.35,0,1,0.0,1.00
泸州_芜湖,13860,120,2310.0,0,6,0.0,0.00
连云港_南鲲,4504,40,2252.25,0,2,0.0,1.00
大连_台山,5549,60,1849.75,0,3,0.0,0.00
铜陵_锦州,315,20,315.0,0,1,0.0,1.00
大连_惠州,2714,20,2714.25,0,1,0.0,1.00
连云港_顺德新港,6762,80,3381.0,2,0,1.0,0.50
新港_大麦屿,1828,20,1828.05,0,1,0.0,0.00
宜宾_珠海（高栏）,5775,40,2887.5,0,2,0.0,1.00
珠海（高栏）_蚌埠,3854,60,1927.2749999999999,1,1,0.5,0.50
曹妃甸_福清,2969,40,1484.6999999999998,0,2,0.0,0.00
马尾_黄骅,78,20,78.75,0,1,0.0,0.00
铁山_锦州,1625,80,406.35,0,4,0.0,1.00
芜湖_中山,6958,60,2319.45,0,3,0.0,1.00
梧州（李家庄）_南通,4140,60,1380.05,0,3,0.0,1.00
厦门_鸦岗,1822,80,455.7,0,4,0.0,1.00
乍浦_肇庆（三榕）,1582,20,1582.35,0,1,0.0,0.00
安庆_钦州,6037,40,3018.75,0,2,0.0,1.00
泰州_四会,3178,40,3178.35,1,0,1.0,1.00
董家口_泉州,6116,100,1529.0625,1,3,0.25,0.50
乍浦_花都（炭步）,2585,40,2585.1,1,0,1.0,1.00
宁德_秦皇岛,446,20,446.25,0,1,0.0,0.00
江门亚太_洋浦港,359,60,119.7,0,3,0.0,0.00
漳州_鹤山,1659,80,553.0,1,2,0.3333333333333333,0.67
顺乐_泰州,1071,40,535.5,0,2,0.0,1.00
扬州_小榄,5143,60,1714.6499999999999,0,3,0.0,1.00
南京_肇庆（新港）,4399,40,2199.75,0,2,0.0,1.00
顺乐_海口,7199,140,1439.97,2,3,0.4,0.60
秦皇岛_珠海（高栏）,2753,40,2753.1,1,0,1.0,0.00
北海_日照,1036,20,1036.35,0,1,0.0,1.00
宜昌_湛江海安,5460,40,2730.0,0,2,0.0,1.00
上海_福清,11096,180,1849.3999999999999,3,3,0.5,1.00
南通_福鼎,2320,20,2320.5,0,1,0.0,1.00
锦州_铜陵,13731,160,1716.4875,0,8,0.0,0.50
宜宾_连云港,15796,140,2256.6,0,7,0.0,0.71
清远清新_太仓,501,40,250.95,0,2,0.0,1.00
乍浦_勒流,14880,240,2480.1,6,0,1.0,1.00
乐平_大连,3906,100,976.5,1,3,0.25,0.75
黄骅_安庆,4057,40,2028.6,0,2,0.0,1.00
涪陵_太仓,13860,120,2310.0,0,6,0.0,0.00
上海_涪陵,7875,80,3937.5,2,0,1.0,0.00
张家港_营口,2734,160,546.8399999999999,3,2,0.6,0.60
张家港_乐从,3297,40,1648.5,0,2,0.0,0.00
东江仓_宁波,5540,100,1846.95,2,1,0.6666666666666666,1.00
厦门_四会,5336,180,1067.22,4,1,0.8,1.00
鸦岗_南京,313,20,313.95,0,1,0.0,1.00
中山_嘉兴,982,40,491.4,0,2,0.0,0.00
南沙_乍浦,1324,20,1324.05,0,1,0.0,1.00
马尾_顺乐,434,40,217.35000000000002,0,2,0.0,0.00
塘源_泉州,2705,60,901.9500000000002,0,3,0.0,1.00
常熟_钦州,11332,120,2833.1625,2,2,0.5,0.50
九江（江西）_常熟,2310,40,2310.0,1,0,1.0,0.00
董家口_鸦岗,9282,160,2320.5,4,0,1.0,0.00
扬州_肇庆（三榕）,4414,40,2207.1,0,2,0.0,1.00
海口_马尾,5250,80,2625.0,2,0,1.0,1.00
惠州_日照,1223,40,1223.25,1,0,1.0,0.00
锦州_紫金村,2507,20,2507.4,0,1,0.0,0.00
扬州_唐山,3792,120,632.1,0,6,0.0,1.00
梧州（李家庄）_芜湖,6217,80,1554.2625,0,4,0.0,0.50
小铲滩_南通,1594,40,1594.95,1,0,1.0,0.00
湛江海安_日照,2188,40,1094.1,0,2,0.0,1.00
江阴_福清,7242,140,1810.725,3,1,0.75,0.00
营口_德庆,7950,80,3975.3,2,0,1.0,1.00
江阴_烟台,449,20,449.4,0,1,0.0,1.00
万州_如皋,5040,40,2520.0,0,2,0.0,0.00
南庄_池州,3173,40,1586.55,0,2,0.0,1.00
宜昌_宁德,8190,60,2730.0,0,3,0.0,0.33
泉州_清远清新,1915,40,957.6,0,2,0.0,1.00
漳州_珠海洪湾,245,20,245.7,0,1,0.0,0.00
钦州_宿迁,2801,80,700.35,0,4,0.0,0.00
潍坊_钦州,2499,20,2499.0,0,1,0.0,0.00
双水小冈_重庆,3847,80,961.8,0,4,0.0,1.00
顺乐_黄骅,568,40,568.05,1,0,1.0,0.00
三水_安庆,849,20,849.45,0,1,0.0,1.00
泸州_惠州,12390,80,3097.5,0,4,0.0,1.00
神湾_大连,1141,60,570.675,1,1,0.5,0.00
寿光_泉州,8452,120,2817.5,3,0,1.0,1.00
虎门_东洲,2881,40,1440.6,0,2,0.0,1.00
虎门_长兴,913,20,913.5,0,1,0.0,0.00
漳州_神湾,2662,80,665.7,0,4,0.0,1.00
徐州_钦州,1837,20,1837.5,0,1,0.0,0.00
