DIRECTION,REVENUE,SALES_VOLUME,FREIGHT_RATE,NUM_40,NUM_20,percent_40,Nomal_Rate,score
盘锦_漳州,828968,12280,1350.1118892508155,0,614,0.0,1.0,0.22856646728291904
武汉_福清,7402,60,2467.5,0,3,0.0,1.0,0.22855917682549398
营口_鹏成,9857,80,2464.35,0,4,0.0,1.0,0.22850715318332465
上海_深圳（大铲湾）,17087,260,1898.6333333333332,4,5,0.4444444444444444,1.0,0.22847493642006492
莱州_高明,46270,380,2435.281578947369,0,19,0.0,1.0,0.2284428738735428
莱州_四会,62979,520,2422.269230769231,0,26,0.0,1.0,0.22843465323133474
武汉_肇庆（三榕）,2467,20,2467.5,0,1,0.0,1.0,0.2284151007457159
青岛_荆州,12300,100,2460.15,0,5,0.0,1.0,0.22841377564713586
新港_新会新港,305158,3640,2653.550869565217,67,48,0.5826086956521739,0.52,0.2283763189954991
莱州_三埠,36597,300,2439.8499999999995,0,15,0.0,1.0,0.22833464742831683
日照_武汉,24475,200,2447.55,0,10,0.0,1.0,0.22827771911834763
龙口_顺乐,2460,20,2460.15,0,1,0.0,1.0,0.22812562348757967
贵港_海口,823604,12460,1321.9971910112254,0,623,0.0,1.0,0.22810752178345473
宁波_海口,597248,9500,2140.675268817193,196,83,0.7025089605734767,0.45,0.22800618590245236
南京_钦州,14639,120,2439.85,0,6,0.0,1.0,0.2276863050693154
青岛_湛江海安,2448,20,2448.6,0,1,0.0,1.0,0.22767073065336563
莱州_小塘,29139,240,2428.3,0,12,0.0,1.0,0.22766364047443566
蚌埠_黄埔旧港,28770,420,1918.0,6,9,0.4,1.0,0.22765399033998066
合肥_汕头,137245,1400,2213.6370967741955,8,54,0.12903225806451613,0.98,0.227628388863356
海口_长兴,724431,17940,807.6162207357993,0,897,0.0,1.0,0.22758722458886804
新港_马鞍山,28713,360,3190.366666666667,9,0,1.0,0.22,0.22753960601766976
潍坊_湛江,24260,200,2426.025,0,10,0.0,1.0,0.22742996429094875
烟台_三埠,188014,1620,2321.161111111109,0,81,0.0,0.99,0.22739963641109096
武汉_惠州,19425,160,2428.125,0,8,0.0,1.0,0.22736859599920956
武林_外沙,19420,160,2427.6,0,8,0.0,1.0,0.2273479190521998
广利港_珠海（高栏）,2440,20,2440.2,0,1,0.0,1.0,0.22733989950120997
锦州_长兴,111578,980,2324.546874999999,1,47,0.02083333333333333,1.0,0.22725526629753282
莱州_珠海（高栏）,4872,40,2436.0,0,2,0.0,1.0,0.2272465219650212
乍浦_防城,133934,1340,2195.6532786885277,6,55,0.09836065573770493,1.0,0.22724334829233925
三水_青岛,5934,200,1186.92,5,0,1.0,1.0,0.22722823395858663
上海_小铲滩,16978,140,2425.5,0,7,0.0,1.0,0.22719317322427188
丹东_岳阳,33769,280,2412.0750000000007,0,14,0.0,1.0,0.22716870042996073
黄骅_九江（顺德）,10899,120,2179.8,1,4,0.2,1.0,0.2271643239838297
日照_珠海（高栏）,339428,4380,2278.041946308725,70,79,0.4697986577181208,0.68,0.22700986699378978
合肥_阳江,62025,520,2385.599999999999,0,26,0.0,1.0,0.2269904480094244
扬州_虎门,261064,4380,1706.3049019607868,66,87,0.4313725490196079,0.92,0.22698468845488712
新港_绍兴,22522,240,3753.75,6,0,1.0,0.0,0.22696603935833118
营口_南通,816890,10640,1550.076944971537,5,522,0.009487666034155596,0.96,0.22693600450686702
嘉兴_烟台,7140,180,1428.0,4,1,0.8,1.0,0.2269310499855651
丹东_四会永泰,33663,280,2404.5,0,14,0.0,1.0,0.22687036162310606
连云港_钦州,1079431,11260,1931.0044722719144,4,555,0.007155635062611806,0.79,0.2268035485554238
龙口_鸦岗,12354,120,3088.5750000000007,2,2,0.5,0.5,0.2267861192576704
龙口_新会新港,14494,120,2415.7000000000007,0,6,0.0,1.0,0.22673516550686787
烟台_新沙,66511,560,2375.400000000001,0,28,0.0,1.0,0.22673280054729925
盘锦_花都（炭步）,9668,80,2417.1,0,4,0.0,1.0,0.22664622795244904
万州_营口,49875,480,2267.0454545454545,2,20,0.09090909090909093,1.0,0.22659532316854028
南京_惠州,26426,220,2402.4000000000005,0,11,0.0,1.0,0.2265715397154
营口_黄石,314656,2920,2155.1825342465754,0,146,0.0,1.0,0.22656009902563506
莱州_四会永泰,9651,80,2412.9,0,4,0.0,1.0,0.22648081237637122
锦州_黄埔旧港,225259,2480,3575.55,61,2,0.9682539682539684,0.0,0.22647309609803112
营口_勒流,7239,60,2413.25,0,3,0.0,1.0,0.22642255896782199
盘锦_小塘,24003,200,2400.3,0,10,0.0,1.0,0.22641679388747205
淮安_梧州（李家庄）,2415,20,2415.0,0,1,0.0,1.0,0.226347406044743
大连_高明,2415,20,2415.0,0,1,0.0,1.0,0.226347406044743
营口_蚌埠,66370,480,2885.6739130434785,1,22,0.043478260869565216,0.78,0.22632465693352197
小榄_大连,20692,540,1379.4900000000002,12,3,0.8,1.0,0.22631718479986904
营口_塘源,28869,220,2624.5227272727275,0,11,0.0,0.91,0.22618476802297074
厦门_顺德新港,3502,120,1167.6,3,0,1.0,1.0,0.2261791701490724
烟台_紫金村,4817,40,2408.7,0,2,0.0,1.0,0.22617132072051527
盘锦_博罗,9618,80,2404.5,0,4,0.0,1.0,0.22614998122421553
贵港_宁波,523954,8640,2079.183333333332,180,72,0.7142857142857143,0.48,0.2261040613861608
漳州_博罗,2335,80,1167.6,2,0,1.0,1.0,0.2260350940692943
厦门_勒流,2335,80,1167.6,2,0,1.0,1.0,0.2260350940692943
泰州_茂名水东,2404,20,2404.5,0,1,0.0,1.0,0.22593386710454838
青岛_赤水,63616,540,2356.1611111111124,0,27,0.0,1.0,0.22590304539106426
大连_南沙,685580,7960,2942.40643776824,165,68,0.7081545064377682,0.17,0.22588954063895011
连云港_北海,28583,240,2381.925,0,12,0.0,1.0,0.22583717682190962
大连_双水小冈,16721,140,2388.75,0,7,0.0,1.0,0.22574578693359082
泉州_鸦岗,9088,320,1136.1,8,0,1.0,1.0,0.2256589337273792
烟台_高明,141141,1320,2520.375,10,46,0.17857142857142858,0.82,0.22558860871591255
合肥_梧州（李家庄）,14313,120,2385.6,0,6,0.0,1.0,0.22554968721164342
铁山_南昌,735758,9820,1498.4890020366586,0,491,0.0,1.0,0.22554957065947906
黄骅_深圳（大铲湾）,369360,4660,2135.032369942193,60,113,0.3468208092485549,0.77,0.22554429243582594
宜兴_小塘西,2388,20,2388.75,0,1,0.0,1.0,0.22531355869425654
张家港_铁山,4767,40,2383.5,0,2,0.0,1.0,0.2251788272640483
潍坊_梧州（李家庄）,4760,40,2380.35,0,2,0.0,1.0,0.2250547655819899
南京_贵港,220065,2000,2200.653,0,100,0.0,1.0,0.22503718806862685
宜宾_九江（江西）,632100,8600,2940.0,215,0,1.0,0.0,0.22502867216687442
营口_德清,409879,4020,2039.1992537313424,0,201,0.0,0.99,0.22493922903814617
潍坊_新会新港,4754,40,2377.2,0,2,0.0,1.0,0.22493070389993153
重庆_新港,34240,340,2445.75,3,11,0.21428571428571427,0.86,0.22491537872210904
潍坊_赤水,18883,160,2360.4,0,8,0.0,1.0,0.22470126983495453
烟台_南庄,32871,280,2347.9500000000007,0,14,0.0,1.0,0.224643159045201
烟台_黄埔旧港,1024444,12060,2480.4940677966088,190,223,0.4600484261501211,0.31,0.2246171212246225
涪陵_青岛,76230,660,2310.0,0,33,0.0,1.0,0.22451723391924683
连云港_三埠,40841,460,2268.991666666667,5,13,0.2777777777777778,0.89,0.2245167542150408
营口_长沙,2023158,14700,2752.5971428571693,0,735,0.0,0.33,0.2245144763394841
云浮_三亚,397567,3960,2007.9181818181812,0,198,0.0,1.0,0.22450612050637248
长兴_马尾,2367,20,2367.75,0,1,0.0,1.0,0.22448648081386738
潍坊_珠海（高栏）,2361,20,2361.45,0,1,0.0,1.0,0.22423835744975062
潍坊_肇庆（三榕）,7071,60,2357.25,0,3,0.0,1.0,0.2242170179534509
长兴_小铲滩,28081,240,2340.0999999999995,0,12,0.0,1.0,0.22418991337680122
蚌埠_贵港,51030,440,2319.5454545454545,0,22,0.0,1.0,0.22410075997155324
龙口_深圳（大铲湾）,30342,260,2334.06923076923,0,13,0.0,1.0,0.22402443161514257
