DIRECTION,REVENUE,SALES_VOLUME,FREIGHT_RATE,NUM_40,NUM_20
三埠宜昌,3881,60,1293.95,0,3
常州武汉,1155,20,1155.0,0,1
深圳（大铲湾）江阴,2244,40,1122.45,0,2
双水小冈营口,7245,540,381.3157894736843,8,11
安吉黄埔旧港,8884,140,2221.0125,3,1
秦皇岛黄石,3769,40,1884.75,0,2
莱州南沙,13421,120,2236.85,0,6
烟台九江（顺德）,23984,280,3426.2999999999997,7,0
常州漳州,15422,180,1713.6,0,9
镇江南沙,16804,240,2800.7000000000003,6,0
宁德江阴,12530,360,696.15,0,18
德庆泉州,4695,220,426.87272727272733,0,11
泰州黄埔旧港,9306,200,1861.23,5,0
营口鹏成,9857,80,2464.35,0,4
南庄重庆,10567,220,960.6545454545455,0,11
连云港台山,33892,360,2607.1500000000005,5,8
泰州锦州,8137,380,428.2894736842105,0,19
乍浦小榄,7603,140,1900.7624999999998,3,1
茂名水东潍坊,13482,800,337.05,0,40
营口淮安,26691,320,1668.1875,0,16
乍浦汕头,39608,600,1886.0999999999997,9,12
宁德青岛,21048,460,915.1434782608695,0,23
青岛福鼎,1669,20,1669.5,0,1
塘源长兴,25465,380,1340.2973684210524,0,19
青岛洋浦港,23942,260,1995.175,1,11
肇庆（新港）海口,31029,640,1939.35,16,0
连云港东江仓,15949,120,3987.375,2,2
石龙小铲滩,4467,80,2233.875,2,0
董家口宁波,5094,80,2547.3,2,0
莱州厦门,14910,200,1491.0,0,10
宁波茂名水东,42241,520,2112.075,6,14
锦州威海,11774,360,654.15,0,18
海口漳州,365,80,91.35,0,4
泰州小榄,3759,40,1879.5,0,2
鸦岗宁波,4887,80,1629.25,1,2
双水小冈太仓,3067,500,139.4113636363636,3,19
珠海（高栏）新港,41480,1800,782.6462264150942,37,16
武汉铜陵,15225,260,1171.1538461538462,0,13
三水宁波,25225,760,741.9176470588236,4,30
烟台虎门,32744,380,2976.75,8,3
虎门泰州,131,20,131.25,0,1
贵港厦门,13384,220,1216.7590909090911,0,11
新港上海,96812,1660,1698.4578947368423,26,31
锦州桂平新龙,11478,80,2869.65,0,4
镇江锦州,3675,200,367.5,0,10
秦皇岛虎门,22092,360,2209.2,8,2
秦皇岛中山,25656,260,2565.675,3,7
德清马尾,16180,200,3236.1,5,0
宜宾宁波,27300,200,2730.0,0,10
梧州（李家庄）厦门,13910,280,993.6000000000003,0,14
营口塘源,28869,220,2624.5227272727275,0,11
紫金村镇江,32021,520,1231.6096153846154,0,26
海口连云港,36120,760,1165.1612903225807,7,24
鸦岗锦州,1562,80,520.8000000000001,1,2
海口东莞海腾,3412,100,682.5,0,5
花都（炭步）烟台,9897,160,1237.1625,0,8
云浮泉州,13082,700,373.79999999999995,0,35
梧州（李家庄）宿迁,23016,360,1278.6666666666667,0,18
顺德新港泉州,3807,280,271.94999999999993,0,14
南沙太仓,168,100,33.6,0,5
盘锦南通,12575,140,1796.55,0,7
青岛清远清新,23629,220,2148.109090909091,0,11
中山日照,428,40,214.2,0,2
日照花都巴江,49016,680,1531.7531250000002,2,30
荆州德清,17955,180,1995.0,0,9
宜兴营口,52920,1420,1356.923076923077,32,7
泉州泰州,8009,1560,205.3692307692308,39,0
鱼珠洋浦港,27793,580,1029.388888888889,2,25
烟台防城,95094,1040,3657.4730769230778,26,0
芜湖珠海（高栏）,60285,680,1944.7016129032263,3,28
德庆秦皇岛,5076,200,1015.35,5,0
大连鱼珠,3827,40,1913.625,0,2
宜昌泸州,44100,420,2100.0,0,21
南沙小铲滩,16236,360,1623.615,8,2
泉州北海,5600,140,800.1000000000001,0,7
东江仓营口,651,20,651.0,0,1
